year_month,category,n_customers,n_transasctions,total_amount,pos_perc,ecom_perc
9-2022,holidays,562,1668,263838.93,0.52,0.48
9-2022,groceries,1489,15331,328858.32,0.93,0.07
1-2021,communication,424,1360,47092.05,0.02,0.98
12-2020,holidays,1,1,161.4,0.0,1.0
2-2021,transport,506,1908,51970.82,0.8,0.2
2-2021,general,125,215,20278.61,0.09,0.91
2-2021,health,255,398,28885.09,0.86,0.14
3-2021,communication,613,1831,64319.06,0.11,0.89
4-2021,transport,715,3056,75569.6,0.79,0.21
4-2021,general,169,275,29507.34,0.1,0.9
4-2021,health,329,533,34145.85,0.89,0.11
5-2021,living,104,165,15142.73,0.77,0.23
6-2021,savings,78,258,50386.67,0.0,1.0
3-2023,entertainment,808,3170,200453.49,0.1,0.9
3-2023,Restaurant,7,9,424.6,1.0,0.0
4-2023,entertainment,879,3478,186169.64,0.14,0.86
4-2023,Restaurant,3,4,32.7,1.0,0.0
5-2023,transport,1337,8481,187626.46,0.69,0.31
5-2023,general,408,730,58146.42,0.22,0.78
5-2023,health,614,1129,55316.62,0.92,0.08
6-2023,entertainment,755,3136,200098.34,0.13,0.87
7-2021,communication,654,2032,56953.3,0.08,0.92
8-2021,groceries,1098,11177,287080.37,0.92,0.08
8-2021,holidays,420,1119,176317.7,0.64,0.36
10-2021,shopping,995,4166,330003.15,0.57,0.43
10-2021,tax,119,169,9301.28,0.31,0.69
4-2022,living,137,224,18319.63,0.57,0.43
6-2022,shopping,1143,4649,377094.33,0.51,0.49
6-2022,tax,162,245,9185.83,0.67,0.33
11-2021,education,1,6,203.55,0.43,0.57
12-2021,groceries,1233,11766,364407.65,0.92,0.08
12-2021,holidays,308,689,119406.2,0.53,0.47
1-2022,savings,102,269,63501.0,0.0,1.0
12-2022,cash,458,1356,331270.37,0.58,0.42
7-2022,cash,439,1361,328516.96,0.56,0.44
8-2022,savings,28,81,23461.2,0.01,0.99
8-2022,Health,1,3,315.0,0.0,1.0
11-2023,entertainment,819,3069,203985.16,0.12,0.88
11-2023,Restaurant,4,4,161.9,1.0,0.0
12-2023,groceries,1538,15805,425519.83,0.94,0.06
