year_month,category,top_counterpart,n_customers,n_transasctions,total_amount,pos_perc,ecom_perc
3-2023,communication,apple,359,1019,15750.2,0.0,1.0
3-2023,restaurants,sumup,197,388,9395.06,1.0,0.0
3-2023,groceries,avec,157,344,2776.4,0.99,0.01
3-2023,restaurants,uber,59,176,7540.18,0.07,0.93
3-2023,transport,parkingpay,42,190,1444.78,0.0,1.0
3-2023,groceries,sumup,63,93,1963.54,0.89,0.11
3-2023,transport,tier,24,136,390.93,0.08,0.92
3-2023,living,landi,44,63,2891.85,1.0,0.0
3-2023,restaurants,marche,41,69,844.75,1.0,0.0
4-2023,groceries,coop,914,4093,91006.6,0.96,0.04
4-2023,restaurants,migros,156,264,3544.85,1.0,0.0
4-2023,health,amavita,43,52,1484.0,1.0,0.0
4-2023,restaurants,subway,40,49,803.1,1.0,0.0
3-2023,health,dm-drogerie,31,41,1037.26,1.0,0.0
4-2023,communication,netflix.com,70,70,1220.15,0.0,1.0
5-2023,restaurants,sumup,197,356,9788.45,1.0,0.0
5-2023,restaurants,uber,68,187,7133.37,0.1,0.9
5-2023,shopping,muller,52,64,1434.05,1.0,0.0
5-2023,restaurants,marche,63,102,1625.77,1.0,0.0
5-2023,communication,other,558,1134,43007.04,0.08,0.92
5-2023,health,other,533,917,46170.18,0.91,0.09
5-2023,transport,other,959,3446,91370.52,0.74,0.26
4-2023,entertainment,interwetten,15,234,18366.78,0.0,1.0
5-2023,savings,other,26,72,20077.67,0.0,1.0
6-2023,transport,shell,175,283,7994.35,1.0,0.0
6-2023,groceries,kkiosk,114,210,1963.15,1.0,0.0
6-2023,groceries,brezelkönig,35,41,334.6,1.0,0.0
10-2021,shopping,other,861,2987,245399.5,0.64,0.36
10-2021,communication,apple,279,913,20670.21,0.0,1.0
10-2021,groceries,aldi,139,361,14459.27,0.94,0.06
10-2021,transport,uber,66,213,3520.57,0.13,0.87
10-2021,savings,coinbase,30,102,21795.28,0.0,1.0
10-2021,groceries,manor,35,56,1603.7,1.0,0.0
10-2021,cash,kantonalbank,23,37,7810.0,1.0,0.0
11-2021,restaurants,uber,58,175,6245.3,0.02,0.98
11-2021,groceries,steiner,64,139,1547.45,1.0,0.0
11-2021,shopping,amzn,36,56,5041.58,0.0,1.0
11-2021,transport,landi,20,38,778.3,1.0,0.0
11-2021,groceries,sbb,18,29,183.7,1.0,0.0
12-2021,groceries,volg,136,368,7740.05,1.0,0.0
12-2021,communication,spotify,149,155,2479.57,0.0,1.0
12-2021,shopping,muller,61,75,2446.3,1.0,0.0
12-2021,health,sumup,51,63,4711.32,1.0,0.0
12-2021,communication,audible,27,33,389.54,0.0,1.0
12-2021,savings,other,32,88,41217.82,0.01,0.99
1-2022,restaurants,uber,56,191,6585.25,0.04,0.96
1-2022,entertainment,netflix,126,127,2374.82,0.0,1.0
1-2022,entertainment,google,5,5,219.58,0.0,1.0
1-2022,transport,voi,5,12,38.41,0.0,1.0
1-2022,restaurants,marche,25,31,474.55,1.0,0.0
10-2021,transport,vbz,26,71,3232.6,1.0,0.0
10-2021,groceries,rewe,11,25,942.43,0.95,0.05
10-2021,shopping,jelmoli,25,32,2395.9,1.0,0.0
10-2021,salary,other,2,2,198.59,0.0,1.0
11-2021,restaurants,sumup,82,136,3915.1,1.0,0.0
11-2021,transport,migrol,102,171,4290.54,1.0,0.0
11-2021,living,landi,32,40,1296.6,1.0,0.0
11-2021,restaurants,marche,30,37,604.6,1.0,0.0
12-2021,living,landi,38,44,1831.6,1.0,0.0
12-2021,holidays,airbnb,10,12,2439.35,0.0,1.0
