customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us,churned,segment
18,11,127,17251.64,58,163,0.19,0.81,9240.0,153.0,0.0,116.0,0.0,210.0,450.0,15.0,0.0,0.0,0.0,441.0,0.0,5789.0,717.0,0.0,120.0,0.0,0.0,7005.09,5873.01,0.0,0.0,0.0,4051.32,64.0,2.0,2.0,24.0,3.0,0.0,0.0,True,Churned
23,5,218,4036.36,45,341,0.97,0.03,0.0,22.0,0.0,0.0,0.0,0.0,1188.0,195.0,0.0,0.0,34.0,1563.0,0.0,0.0,342.0,0.0,693.0,0.0,0.0,3977.5,58.86,0.0,0.0,0.0,0.0,212.0,1.0,0.0,0.0,1.0,0.0,0.0,True,Churned
24,3,137,26690.15,60,583,0.2,0.8,0.0,0.0,3628.0,202.0,0.0,0.0,2005.0,527.0,276.0,0.0,68.0,769.0,0.0,17041.0,1226.0,0.0,947.0,0.0,0.0,8763.37,17926.78,0.0,0.0,0.0,0.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,True,Churned
26,1,23,300.45,10,153,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,300.45,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
29,13,302,12695.09,226,668,0.66,0.34,780.0,0.0,0.0,653.0,0.0,58.0,932.0,123.0,3540.0,0.0,0.0,3138.0,0.0,0.0,1794.0,183.0,1494.0,0.0,0.0,4017.36,5832.71,0.0,0.0,0.0,347.33,93.0,48.0,0.0,1.0,13.0,38.0,0.0,True,Churned
30,6,54,1208.55,51,359,0.78,0.22,0.0,12.0,0.0,52.0,0.0,0.0,72.0,6.0,185.0,0.0,0.0,559.0,0.0,0.0,211.0,0.0,112.0,0.0,0.0,23.29,164.17,496.06,0.0,0.0,202.05,2.0,0.0,9.0,12.0,0.0,0.0,5.0,True,Churned
34,1,114,5835.0,18,284,0.16,0.84,0.0,0.0,0.0,4937.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,141.0,115.0,0.0,0.0,0.0,5835.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
38,7,514,15642.88,320,387,0.63,0.37,716.0,26.0,0.0,468.0,0.0,28.0,407.0,73.0,5769.0,0.0,115.0,3368.0,0.0,0.0,2469.0,51.0,2155.0,0.0,0.0,1730.9,1577.3,107.12,0.0,0.0,11169.87,17.0,16.0,0.0,7.0,0.0,0.0,378.0,True,Churned
42,2,137,1404.53,20,792,0.94,0.06,25.0,24.0,0.0,71.0,0.0,0.0,167.0,0.0,270.0,0.0,0.0,733.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,1404.53,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,1.0,0.0,0.0,0.0,True,Churned
47,3,105,1698.68,51,712,0.79,0.21,0.0,206.0,0.0,97.0,0.0,0.0,326.0,24.0,0.0,0.0,11.0,598.0,0.0,0.0,280.0,0.0,157.0,0.0,0.0,1047.87,650.81,0.0,0.0,0.0,0.0,74.0,0.0,13.0,0.0,0.0,18.0,0.0,True,Churned
48,18,286,8620.71,148,372,0.41,0.59,2599.0,331.0,0.0,199.0,0.0,19.0,148.0,81.0,4001.0,0.0,0.0,450.0,0.0,0.0,184.0,176.0,432.0,0.0,0.0,1184.27,2168.71,0.0,43.48,943.9,986.0,41.0,1.0,0.0,10.0,0.0,0.0,4.0,True,Churned
54,1,19,79.85,13,61,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,79.85,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
60,5,101,1168.38,54,287,0.62,0.38,20.0,293.0,0.0,130.0,0.0,0.0,342.0,61.0,0.0,0.0,0.0,166.0,0.0,16.0,108.0,0.0,33.0,0.0,0.0,1106.39,61.99,0.0,0.0,0.0,0.0,83.0,2.0,0.0,9.0,0.0,0.0,6.0,True,Churned
61,1,7,111.55,4,125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,111.55,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
63,3,63,3297.1,45,61,0.62,0.38,200.0,9.0,0.0,0.0,0.0,14.0,958.0,76.0,0.0,0.0,0.0,510.0,0.0,888.0,446.0,6.0,190.0,0.0,0.0,3176.63,106.6,0.0,0.0,0.0,13.87,60.0,0.0,0.0,0.0,0.0,0.0,2.0,True,Churned
64,5,178,3523.37,44,364,0.46,0.54,0.0,1474.0,0.0,36.0,0.0,50.0,105.0,0.0,50.0,0.0,0.0,481.0,0.0,0.0,1274.0,0.0,54.0,0.0,0.0,3307.24,50.01,0.0,0.0,0.0,94.11,61.0,2.0,0.0,4.0,83.0,0.0,28.0,True,Churned
65,3,152,11540.26,51,120,0.93,0.07,9053.0,20.0,0.0,0.0,0.0,1.0,512.0,55.0,0.0,0.0,126.0,198.0,0.0,0.0,1538.0,0.0,38.0,0.0,0.0,310.73,615.32,0.0,0.0,0.0,106.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,Churned
68,8,38,5321.31,27,560,0.05,0.95,3173.0,88.0,0.0,50.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,44.0,0.0,300.0,1464.0,0.0,22.0,0.0,0.0,2079.67,3206.09,0.0,0.0,0.0,35.55,23.0,3.0,0.0,0.0,2.0,0.0,0.0,True,Churned
69,11,333,11876.12,192,895,0.57,0.43,250.0,116.0,0.0,132.0,0.0,48.0,1193.0,125.0,1568.0,0.0,144.0,2846.0,0.0,2555.0,2380.0,0.0,520.0,0.0,0.0,7701.69,3862.83,0.0,0.0,0.0,178.91,278.0,6.0,0.0,6.0,0.0,2.0,1.0,True,Churned
70,4,237,10759.96,87,206,0.59,0.41,0.0,137.0,0.0,0.0,0.0,0.0,2389.0,27.0,90.0,0.0,45.0,157.0,0.0,3901.0,2668.0,0.0,1347.0,0.0,0.0,10681.2,78.76,0.0,0.0,0.0,0.0,228.0,1.0,0.0,3.0,0.0,0.0,0.0,True,Churned
71,3,44,1500.33,26,325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,93.0,0.0,0.0,0.0,174.0,0.0,0.0,477.0,0.0,407.0,0.0,0.0,1208.77,249.52,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
73,2,5,148.93,3,9,0.03,0.97,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,93.55,0.0,55.38,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,True,Churned
74,1,29,812.45,18,88,1.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,812.45,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
75,2,6,102.25,6,19,0.36,0.64,0.0,66.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,65.95,5.0,0.0,0.0,0.0,0.0,0.0,1.0,True,Churned
80,2,36,3020.2,23,185,0.99,0.01,2340.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,130.0,0.0,56.0,0.0,0.0,3020.2,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
84,12,518,25632.7,160,433,0.53,0.47,0.0,1649.0,0.0,1470.0,0.0,156.0,2269.0,317.0,1278.0,0.0,29.0,3444.0,171.0,0.0,11125.0,114.0,3580.0,31.0,0.0,22149.71,3028.13,0.0,0.0,0.0,61.12,407.0,43.0,17.0,1.0,16.0,3.0,1.0,True,Churned
85,11,1012,25816.49,403,631,0.79,0.21,377.0,1005.0,0.0,788.0,0.0,1975.0,5656.0,561.0,3416.0,0.0,56.0,5936.0,0.0,530.0,2864.0,0.0,2653.0,0.0,0.0,21930.82,3885.67,0.0,0.0,0.0,0.0,879.0,11.0,38.0,6.0,11.0,31.0,8.0,True,Churned
87,3,4,1181.13,3,12,0.0,1.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,995.0,0.0,0.0,0.0,0.0,1075.81,105.32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,True,Churned
88,1,1,1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Churned
89,2,2,3050.0,2,203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,1220.0,0.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,True,Churned
112,12,246,12015.64,61,928,0.2,0.8,0.0,279.0,0.0,193.0,0.0,374.0,1069.0,120.0,801.0,0.0,76.0,1649.0,0.0,0.0,7204.0,92.0,158.0,0.0,0.0,11090.66,29.48,0.0,0.0,0.0,94.17,221.0,9.0,0.0,1.0,1.0,1.0,2.0,True,Churned
121,3,7,300.12,5,219,0.8,0.2,240.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,24.12,4.0,0.0,0.0,1.0,0.0,0.0,2.0,True,Churned
129,3,57,1112.15,28,867,0.74,0.26,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,17.0,0.0,0.0,164.0,0.0,0.0,101.0,0.0,145.0,0.0,0.0,1112.15,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,1.0,0.0,0.0,0.0,True,Churned
131,2,14,675.46,12,633,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,51.0,0.0,0.0,198.0,0.0,0.0,337.0,0.0,10.0,0.0,0.0,432.1,243.36,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,True,Churned
