customer_id,n_country,n_transactions,total_amount,n_counterparts,days_active,pos_perc,ecom_perc,cat_cash,cat_communication,cat_education,cat_entertainment,cat_fitness,cat_general,cat_groceries,cat_health,cat_holidays,cat_hotel,cat_living,cat_restaurant,cat_salary,cat_savings,cat_shopping,cat_tax,cat_transport,cat_wellness,cur_aud,cur_chf,cur_eur,cur_gbp,cur_mxn,cur_thb,cur_usd,country_ch,country_de,country_fr,country_gb,country_ie,country_it,country_us
0,11,197,21843.61,92,514,0.75,0.25,12620.0,1638.0,0.0,243.0,0.0,0.0,2021.0,0.0,619.0,0.0,0.0,392.0,0.0,3045.0,698.0,100.0,470.0,0.0,0.0,16147.62,5227.26,31.23,0.0,0.0,19.25,86.0,0.0,0.0,16.0,28.0,42.0,0.0
1,14,1736,104203.28,468,964,0.54,0.46,11233.0,2231.0,0.0,1956.0,0.0,1326.0,15503.0,3832.0,12673.0,0.0,1053.0,10935.0,0.0,19390.0,13468.0,267.0,10336.0,0.0,0.0,79513.95,23286.78,0.0,0.0,0.0,786.15,1325.0,9.0,1.0,5.0,146.0,96.0,4.0
2,31,3087,197449.56,629,964,0.21,0.79,15395.0,8950.0,0.0,105050.0,0.0,8964.0,16016.0,2072.0,3894.0,0.0,1510.0,10816.0,0.0,1421.0,18298.0,1003.0,4063.0,0.0,0.0,141381.46,28780.87,0.0,0.0,0.0,27091.0,1632.0,106.0,3.0,93.0,11.0,0.0,59.0
3,5,1412,49291.32,127,930,0.96,0.04,1450.0,291.0,0.0,209.0,0.0,0.0,37999.0,1260.0,132.0,0.0,0.0,491.0,26.0,0.0,5121.0,136.0,2175.0,0.0,0.0,42426.64,6864.68,0.0,0.0,0.0,0.0,1291.0,103.0,0.0,0.0,0.0,0.0,7.0
4,5,903,8224.79,183,525,0.95,0.05,0.0,0.0,0.0,243.0,0.0,0.0,1829.0,652.0,68.0,0.0,0.0,4784.0,0.0,0.0,575.0,0.0,74.0,0.0,0.0,7933.05,291.74,0.0,0.0,0.0,0.0,884.0,9.0,0.0,0.0,0.0,8.0,0.0
5,11,649,35797.13,85,953,0.67,0.33,0.0,123.0,0.0,3376.0,0.0,100.0,11132.0,175.0,0.0,0.0,0.0,2367.0,0.0,0.0,11427.0,0.0,7096.0,0.0,0.0,31993.28,3727.49,0.0,0.0,0.0,76.36,569.0,34.0,5.0,3.0,7.0,0.0,9.0
6,1,227,11991.94,15,213,1.0,0.0,11090.0,0.0,0.0,0.0,0.0,0.0,702.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,55.0,0.0,125.0,0.0,0.0,11991.94,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2,20,1041.55,9,8,0.19,0.81,836.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,106.0,0.0,28.0,0.0,0.0,1041.55,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0
8,7,72,2289.74,48,357,0.96,0.04,0.0,0.0,0.0,276.0,0.0,0.0,169.0,14.0,81.0,0.0,0.0,938.0,0.0,0.0,714.0,0.0,97.0,0.0,0.0,953.15,789.79,0.0,0.0,0.0,546.8,45.0,1.0,0.0,0.0,0.0,1.0,15.0
9,7,426,113307.78,133,579,0.33,0.67,17899.0,274.0,0.0,72373.0,0.0,0.0,6065.0,160.0,3192.0,0.0,351.0,2085.0,0.0,0.0,9190.0,137.0,1582.0,0.0,0.0,110023.43,2542.6,0.0,0.0,0.0,0.0,370.0,15.0,1.0,9.0,0.0,0.0,5.0
10,10,165,4876.48,23,320,0.54,0.46,0.0,279.0,0.0,699.0,0.0,134.0,1686.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,1102.0,10.0,696.0,0.0,0.0,4719.18,157.3,0.0,0.0,0.0,0.0,48.0,6.0,1.0,11.0,13.0,0.0,2.0
11,11,393,9659.1,159,909,0.56,0.44,340.0,535.0,0.0,167.0,0.0,141.0,1792.0,114.0,0.0,0.0,0.0,208.0,0.0,0.0,6068.0,106.0,188.0,0.0,0.0,8672.63,843.77,0.0,0.0,0.0,142.7,339.0,19.0,0.0,12.0,3.0,0.0,7.0
12,1,15,763.0,9,11,1.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,763.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
13,8,625,19238.69,107,540,0.87,0.13,7562.0,303.0,0.0,0.0,0.0,1265.0,4015.0,400.0,158.0,0.0,172.0,2234.0,0.0,0.0,862.0,200.0,2067.0,0.0,0.0,18607.54,235.86,0.0,0.0,376.65,0.0,592.0,8.0,0.0,8.0,6.0,0.0,1.0
14,11,853,23086.84,305,633,0.64,0.36,224.0,57.0,0.0,1033.0,0.0,1568.0,3381.0,273.0,7077.0,0.0,46.0,6044.0,0.0,0.0,2313.0,19.0,1053.0,0.0,0.0,2950.14,4352.22,463.86,0.0,0.0,1226.05,42.0,4.0,0.0,28.0,1.0,9.0,30.0
15,8,54,5588.58,41,151,0.32,0.68,0.0,229.0,0.0,50.0,0.0,393.0,365.0,1052.0,1350.0,0.0,0.0,929.0,0.0,0.0,977.0,2.0,240.0,0.0,0.0,2435.18,2974.85,0.0,0.0,0.0,178.55,9.0,0.0,26.0,3.0,3.0,9.0,2.0
16,9,199,7733.22,147,822,0.59,0.41,0.0,122.0,0.0,299.0,0.0,108.0,920.0,0.0,1533.0,0.0,16.0,1669.0,0.0,0.0,2273.0,98.0,698.0,0.0,0.0,2140.69,3203.26,2352.41,0.0,0.0,3.0,60.0,3.0,34.0,74.0,0.0,0.0,2.0
17,15,1104,38206.85,350,892,0.47,0.53,794.0,2624.0,0.0,3567.0,0.0,1029.0,7402.0,668.0,3945.0,0.0,16.0,9095.0,0.0,0.0,5423.0,172.0,3473.0,0.0,0.0,32293.31,1425.47,854.15,0.0,696.81,2937.11,881.0,22.0,0.0,52.0,29.0,5.0,51.0
18,11,127,17251.64,58,163,0.19,0.81,9240.0,153.0,0.0,116.0,0.0,210.0,450.0,15.0,0.0,0.0,0.0,441.0,0.0,5789.0,717.0,0.0,120.0,0.0,0.0,7005.09,5873.01,0.0,0.0,0.0,4051.32,64.0,2.0,2.0,24.0,3.0,0.0,0.0
